ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,SJMN91-06184088,NAIVE.TXT,0.52381,0.53398,0.52885,1
ROUGE-1,AP881104-0268,NAIVE.TXT,0.38889,0.27632,0.32308,1
ROUGE-1,AP900714-0029,NAIVE.TXT,0.4,0.32558,0.35897,1
ROUGE-1,WSJ910627-0102,NAIVE.TXT,0.44643,0.31447,0.369,1
ROUGE-1,AP880316-0208,NAIVE.TXT,0.60714,0.44737,0.51515,1
ROUGE-1,AP900418-0106,NAIVE.TXT,0.41346,0.33594,0.37069,1
ROUGE-1,SJMN91-06187248,NAIVE.TXT,0.43564,0.28571,0.3451,1
ROUGE-1,SJMN91-06193239,NAIVE.TXT,0.46,0.2359,0.31186,1
ROUGE-1,AP890404-0260,NAIVE.TXT,0.34862,0.21965,0.2695,1
ROUGE-1,SJMN91-06164066,NAIVE.TXT,0.38614,0.21429,0.27562,1
ROUGE-1,AP880911-0024,NAIVE.TXT,0.55422,0.45545,0.5,1
ROUGE-1,WSJ891012-0091,NAIVE.TXT,0.29358,0.26667,0.27948,1
ROUGE-1,AP880714-0187,NAIVE.TXT,0.40594,0.21134,0.27797,1
ROUGE-1,AP890401-0065,NAIVE.TXT,0.18868,0.58824,0.28571,1
ROUGE-1,SJMN91-06163095,NAIVE.TXT,0.40146,0.33333,0.36424,1
ROUGE-1,AP900514-0011,NAIVE.TXT,0.43925,0.33813,0.38211,1
ROUGE-1,AP881228-0009,NAIVE.TXT,0.47115,0.21586,0.29607,1
ROUGE-1,SJMN91-06340029,NAIVE.TXT,0.28571,0.33708,0.30928,1
ROUGE-1,AP880909-0135,NAIVE.TXT,0.33333,0.20833,0.25641,1
ROUGE-1,AP900822-0016,NAIVE.TXT,0.43269,0.32374,0.37037,1
ROUGE-1,AP881007-0011,NAIVE.TXT,0.44762,0.33333,0.38211,1
ROUGE-1,AP890509-0228,NAIVE.TXT,0.40385,0.28571,0.33466,1
ROUGE-1,WSJ880510-0079,NAIVE.TXT,0.30693,0.4026,0.34831,1
ROUGE-1,AP880318-0051,NAIVE.TXT,0.62069,0.4557,0.52555,1
ROUGE-1,AP880513-0068,NAIVE.TXT,0.53704,0.34731,0.42182,1
ROUGE-1,WSJ880919-0094,NAIVE.TXT,0.41379,0.35821,0.384,1
ROUGE-1,WSJ910822-0021,NAIVE.TXT,0.02913,0.13043,0.04762,1
ROUGE-1,WSJ870922-0050,NAIVE.TXT,0.0098,0.05556,0.01667,1
ROUGE-1,AP900622-0121,NAIVE.TXT,0.52427,0.34615,0.41699,1
ROUGE-1,SJMN91-06339168,NAIVE.TXT,0.73529,0.26978,0.39474,1
